id;reference;name;show_in_catalogue;image_link;is_active;sku;i_d_pcode;is_service_item;is_auxilary_item;min_quantity_level;max_quantity_level;storage_cost;selling_price;buy_price
1;Generic Steel Tuna;website calculating;true;monetize Principal navigate;false;Chilean Peso Unidades de fomento Handmade Legacy;deposit Sri Lanka Rupee THX;false;false;88209;64964;8294;93728;44573
2;Steel;Kina networks;false;Michigan Incredible Infrastructure;false;transmitting intermediate withdrawal;green Credit Card Account;true;false;32770;54278;48018;16516;29161
3;Small Wooden Bike Licensed Wooden Computer Oklahoma;aggregate throughput Practical;true;Identity Vermont indigo;false;Human New Mexico Implementation;Awesome Wooden Shirt;false;true;27331;47574;66238;45935;14557
4;CSS Liaison;Keyboard;false;Center Intelligent tangible;true;Gorgeous Rubber Cheese quantifying;cross-platform;true;true;57905;80408;45155;90340;80952
5;open-source;Computer efficient Sleek Soft Sausages;false;AGP Implementation;true;application sticky brand;backing up;true;true;41021;62316;4460;6748;26451
6;asynchronous Unbranded Steel Computer deposit;convergence;true;Chair National Ukraine;true;Small Wooden Chicken Balboa US Dollar Usability;multi-byte Incredible Steel Soap Outdoors;true;true;52857;55509;1215;96602;8838
7;Down-sized;Gorgeous Fresh Pants optical Practical;true;Computers Tuvalu Trinidad and Tobago Dollar;false;Home Loan Account Practical Frozen Shirt Bedfordshire;capacity invoice e-services;true;true;10382;47027;67453;17338;29142
8;project Assistant;Berkshire;false;Virtual invoice index;true;moratorium Concrete;capability transmit calculate;false;false;26900;16465;93026;30040;33901
9;Phased;bandwidth Small;false;turquoise Engineer;false;Savings Account index benchmark;killer intuitive;false;true;13889;19638;47745;59542;55532
10;Home Loan Account Zimbabwe Dollar Functionality;Small Specialist;false;Keyboard;false;Producer;Buckinghamshire;false;true;29877;6153;55191;41129;88756
