id;i_d_pcode;quantity;sell_price;notes
1;interactive;99773;44949;blue virtual Handcrafted Fresh Computer
2;Vision-oriented User-centric Metal;57298;67796;Switzerland Web
3;Garden transmit;94446;50002;Moroccan Dirham
4;National Ergonomic Handmade;71832;77569;Internal
5;invoice;57503;31182;Metal deliver bricks-and-clicks
6;Intelligent Concrete Keyboard;3646;91962;deposit payment Money Market Account
7;Gloves SAS;20310;54267;Liechtenstein
8;Configuration Uzbekistan Sum Indiana;71582;76811;Montana Concrete
9;productivity;59102;56390;system
10;Borders Awesome Wooden Pants;73120;35532;Jewelery disintermediate
