id;i_d_pcode;company_name;credit_limit;current_debt;debt_date;visible
1;Gourde US Dollar Manors override;indexing Personal Loan Account;70975;79127;2019-12-31;true
2;Group;Fantastic lime;33384;74688;2019-12-31;false
3;Beauty Baby world-class;Savings Account;75323;12552;2019-12-31;true
4;capacitor Avon Pula;leverage Virtual;73140;92283;2019-12-31;true
5;navigate Bedfordshire technologies;ADP;87607;68160;2019-12-31;true
6;Connecticut programming;neural methodical Avon;46830;29181;2019-12-31;false
7;Connecticut;infomediaries;12268;4604;2019-12-31;false
8;Rhode Island Tuvalu Principal;circuit;26206;24223;2019-12-31;false
9;white Niue;synergies;28170;55919;2020-01-01;false
10;enhance Pants protocol;Investment Account navigating HDD;73229;58375;2019-12-31;true
