id;i_d_pcode;unit;description
1;French Guiana;Ball;Unbranded
2;Mouse;Direct;Uzbekistan Sum reintermediate
3;solutions primary;Tuna Ports;calculating Planner
4;Handmade Steel Sausages yellow Home Loan Account;harness Corporate;Bike
5;Central Producer Rustic;matrix Legacy;Robust holistic
6;Beauty;deposit;invoice Integration
7;Clothing Berkshire Soft;wireless multimedia;Virgin Islands, British
8;Buckinghamshire;Soap;Home
9;deposit Electronics Outdoors;Checking Account e-commerce Sleek;Computer
10;Accountability Exclusive;Optimized Planner SMTP;Christmas Island blue
